full_text,bigrams,trigrams
"['timnas', 'indonesia', 'tumbang', 'arab', 'saudi', 'paes', 'kecewa', 'hasil', 'sesuai', 'harap']","['timnas indonesia', 'indonesia tumbang', 'tumbang arab', 'arab saudi', 'saudi paes', 'paes kecewa', 'kecewa hasil', 'hasil sesuai', 'sesuai harap']","['timnas indonesia tumbang', 'indonesia tumbang arab', 'tumbang arab saudi', 'arab saudi paes', 'saudi paes kecewa', 'paes kecewa hasil', 'kecewa hasil sesuai', 'hasil sesuai harap']"
"['usai', 'kalah', 'timnas', 'indonesia', 'shin', 'taeyong', 'pecat', 'ulsan']","['usai kalah', 'kalah timnas', 'timnas indonesia', 'indonesia shin', 'shin taeyong', 'taeyong pecat', 'pecat ulsan']","['usai kalah timnas', 'kalah timnas indonesia', 'timnas indonesia shin', 'indonesia shin taeyong', 'shin taeyong pecat', 'taeyong pecat ulsan']"
"['silah', 'paham', 'arti', 'prestasi', 'lalu', 'korelasi', 'pencapain', 'coach', 'shin', 'timnas', 'indonesia']","['silah paham', 'paham arti', 'arti prestasi', 'prestasi lalu', 'lalu korelasi', 'korelasi pencapain', 'pencapain coach', 'coach shin', 'shin timnas', 'timnas indonesia']","['silah paham arti', 'paham arti prestasi', 'arti prestasi lalu', 'prestasi lalu korelasi', 'lalu korelasi pencapain', 'korelasi pencapain coach', 'pencapain coach shin', 'coach shin timnas', 'shin timnas indonesia']"
"['ratu', 'thisa', 'punya', 'alam', 'ttng', 'sepal', 'bola', 'kamu', 'tau', 'indonesia', 'bro', 'kamu', 'baru', 'datang', 'ubah', 'kamu', 'sorot', 'banyak', 'lini', 'etah', 'masyrakat', 'amat', 'politik', 'perintah', 'bahkan', 'internal', 'pssi', 'sndri']","['ratu thisa', 'thisa punya', 'punya alam', 'alam ttng', 'ttng sepal', 'sepal bola', 'bola kamu', 'kamu tau', 'tau indonesia', 'indonesia bro', 'bro kamu', 'kamu baru', 'baru datang', 'datang ubah', 'ubah kamu', 'kamu sorot', 'sorot banyak', 'banyak lini', 'lini etah', 'etah masyrakat', 'masyrakat amat', 'amat politik', 'politik perintah', 'perintah bahkan', 'bahkan internal', 'internal pssi', 'pssi sndri']","['ratu thisa punya', 'thisa punya alam', 'punya alam ttng', 'alam ttng sepal', 'ttng sepal bola', 'sepal bola kamu', 'bola kamu tau', 'kamu tau indonesia', 'tau indonesia bro', 'indonesia bro kamu', 'bro kamu baru', 'kamu baru datang', 'baru datang ubah', 'datang ubah kamu', 'ubah kamu sorot', 'kamu sorot banyak', 'sorot banyak lini', 'banyak lini etah', 'lini etah masyrakat', 'etah masyrakat amat', 'masyrakat amat politik', 'amat politik perintah', 'politik perintah bahkan', 'perintah bahkan internal', 'bahkan internal pssi', 'internal pssi sndri']"
"['jens', 'raven', 'usung', 'misi', 'khusus', 'sea', 'games', 'bantu', 'timnas', 'indonesia', 'tahan', 'emas']","['jens raven', 'raven usung', 'usung misi', 'misi khusus', 'khusus sea', 'sea games', 'games bantu', 'bantu timnas', 'timnas indonesia', 'indonesia tahan', 'tahan emas']","['jens raven usung', 'raven usung misi', 'usung misi khusus', 'misi khusus sea', 'khusus sea games', 'sea games bantu', 'games bantu timnas', 'bantu timnas indonesia', 'timnas indonesia tahan', 'indonesia tahan emas']"
"['bayangin', 'sty', 'rangkap', 'jabat', 'untuk', 'indonesia', 'bukan', 'tim', 'kuat', 'asia', 'macem', 'jepang', 'korsel', 'aussie', 'kalau', 'kamu', 'ngikutin', 'timnas', 'zaman', 'piala', 'tiger', 'sedih', 'liat', 'sosok', 'latih', 'sudah', 'untuk', 'bnyk', 'naikin', 'derajat', 'timnas', 'dbuang', 'sblm', 'tugas', 'rampung']","['bayangin sty', 'sty rangkap', 'rangkap jabat', 'jabat untuk', 'untuk indonesia', 'indonesia bukan', 'bukan tim', 'tim kuat', 'kuat asia', 'asia macem', 'macem jepang', 'jepang korsel', 'korsel aussie', 'aussie kalau', 'kalau kamu', 'kamu ngikutin', 'ngikutin timnas', 'timnas zaman', 'zaman piala', 'piala tiger', 'tiger sedih', 'sedih liat', 'liat sosok', 'sosok latih', 'latih sudah', 'sudah untuk', 'untuk bnyk', 'bnyk naikin', 'naikin derajat', 'derajat timnas', 'timnas dbuang', 'dbuang sblm', 'sblm tugas', 'tugas rampung']","['bayangin sty rangkap', 'sty rangkap jabat', 'rangkap jabat untuk', 'jabat untuk indonesia', 'untuk indonesia bukan', 'indonesia bukan tim', 'bukan tim kuat', 'tim kuat asia', 'kuat asia macem', 'asia macem jepang', 'macem jepang korsel', 'jepang korsel aussie', 'korsel aussie kalau', 'aussie kalau kamu', 'kalau kamu ngikutin', 'kamu ngikutin timnas', 'ngikutin timnas zaman', 'timnas zaman piala', 'zaman piala tiger', 'piala tiger sedih', 'tiger sedih liat', 'sedih liat sosok', 'liat sosok latih', 'sosok latih sudah', 'latih sudah untuk', 'sudah untuk bnyk', 'untuk bnyk naikin', 'bnyk naikin derajat', 'naikin derajat timnas', 'derajat timnas dbuang', 'timnas dbuang sblm', 'dbuang sblm tugas', 'sblm tugas rampung']"
"['jadwal', 'siar', 'langsung', 'timnas', 'indonesia', 'india', 'malam']","['jadwal siar', 'siar langsung', 'langsung timnas', 'timnas indonesia', 'indonesia india', 'india malam']","['jadwal siar langsung', 'siar langsung timnas', 'langsung timnas indonesia', 'timnas indonesia india', 'indonesia india malam']"
"['timnas', 'indonesia', 'timnas', 'pusat', 'samasama', 'pinalti', 'beda', 'lolos', 'piala', 'dunia', 'indonesia', 'juang', 'darah', 'habis']","['timnas indonesia', 'indonesia timnas', 'timnas pusat', 'pusat samasama', 'samasama pinalti', 'pinalti beda', 'beda lolos', 'lolos piala', 'piala dunia', 'dunia indonesia', 'indonesia juang', 'juang darah', 'darah habis']","['timnas indonesia timnas', 'indonesia timnas pusat', 'timnas pusat samasama', 'pusat samasama pinalti', 'samasama pinalti beda', 'pinalti beda lolos', 'beda lolos piala', 'lolos piala dunia', 'piala dunia indonesia', 'dunia indonesia juang', 'indonesia juang darah', 'juang darah habis']"
"['pdhal', 'belum', 'patrick', 'kata', 'tanding', 'ibarat', 'final', 'awal', 'saya', 'sudah', 'intip', 'koq', 'tim', 'beda', 'respons', 'untuk', 'ganti', 'main', 'terlalu', 'lama']","['pdhal belum', 'belum patrick', 'patrick kata', 'kata tanding', 'tanding ibarat', 'ibarat final', 'final awal', 'awal saya', 'saya sudah', 'sudah intip', 'intip koq', 'koq tim', 'tim beda', 'beda respons', 'respons untuk', 'untuk ganti', 'ganti main', 'main terlalu', 'terlalu lama']","['pdhal belum patrick', 'belum patrick kata', 'patrick kata tanding', 'kata tanding ibarat', 'tanding ibarat final', 'ibarat final awal', 'final awal saya', 'awal saya sudah', 'saya sudah intip', 'sudah intip koq', 'intip koq tim', 'koq tim beda', 'tim beda respons', 'beda respons untuk', 'respons untuk ganti', 'untuk ganti main', 'ganti main terlalu', 'main terlalu lama']"
"['update', 'ranking', 'fifa', 'timnas', 'indonesia', 'hari', 'resmi', 'salip', 'malaysia', 'hingga', 'tinggal', 'thailand', 'patrick', 'kluivert', 'merana']","['update ranking', 'ranking fifa', 'fifa timnas', 'timnas indonesia', 'indonesia hari', 'hari resmi', 'resmi salip', 'salip malaysia', 'malaysia hingga', 'hingga tinggal', 'tinggal thailand', 'thailand patrick', 'patrick kluivert', 'kluivert merana']","['update ranking fifa', 'ranking fifa timnas', 'fifa timnas indonesia', 'timnas indonesia hari', 'indonesia hari resmi', 'hari resmi salip', 'resmi salip malaysia', 'salip malaysia hingga', 'malaysia hingga tinggal', 'hingga tinggal thailand', 'tinggal thailand patrick', 'thailand patrick kluivert', 'patrick kluivert merana']"
