full_text,bigrams
"['bayangin', 'sty', 'rangkap', 'jabat', 'untuk', 'indonesia', 'bukan', 'tim', 'kuat', 'asia', 'macem', 'jepang', 'korsel', 'aussie', 'kalau', 'kamu', 'ngikutin', 'timnas', 'zaman', 'piala', 'tiger', 'sedih', 'liat', 'sosok', 'latih', 'sudah', 'untuk', 'bnyk', 'naikin', 'derajat', 'timnas', 'dbuang', 'sblm', 'tugas', 'rampung']","['bayangin sty', 'sty rangkap', 'rangkap jabat', 'jabat untuk', 'untuk indonesia', 'indonesia bukan', 'bukan tim', 'tim kuat', 'kuat asia', 'asia macem', 'macem jepang', 'jepang korsel', 'korsel aussie', 'aussie kalau', 'kalau kamu', 'kamu ngikutin', 'ngikutin timnas', 'timnas zaman', 'zaman piala', 'piala tiger', 'tiger sedih', 'sedih liat', 'liat sosok', 'sosok latih', 'latih sudah', 'sudah untuk', 'untuk bnyk', 'bnyk naikin', 'naikin derajat', 'derajat timnas', 'timnas dbuang', 'dbuang sblm', 'sblm tugas', 'tugas rampung']"
"['jadwal', 'siar', 'langsung', 'timnas', 'indonesia', 'india', 'malam']","['jadwal siar', 'siar langsung', 'langsung timnas', 'timnas indonesia', 'indonesia india', 'india malam']"
"['timnas', 'indonesia', 'timnas', 'pusat', 'samasama', 'pinalti', 'beda', 'lolos', 'piala', 'dunia', 'indonesia', 'juang', 'darah', 'habis']","['timnas indonesia', 'indonesia timnas', 'timnas pusat', 'pusat samasama', 'samasama pinalti', 'pinalti beda', 'beda lolos', 'lolos piala', 'piala dunia', 'dunia indonesia', 'indonesia juang', 'juang darah', 'darah habis']"
"['pdhal', 'belum', 'patrick', 'kata', 'tanding', 'ibarat', 'final', 'awal', 'saya', 'sudah', 'intip', 'koq', 'tim', 'beda', 'respons', 'untuk', 'ganti', 'main', 'terlalu', 'lama']","['pdhal belum', 'belum patrick', 'patrick kata', 'kata tanding', 'tanding ibarat', 'ibarat final', 'final awal', 'awal saya', 'saya sudah', 'sudah intip', 'intip koq', 'koq tim', 'tim beda', 'beda respons', 'respons untuk', 'untuk ganti', 'ganti main', 'main terlalu', 'terlalu lama']"
"['update', 'ranking', 'fifa', 'timnas', 'indonesia', 'hari', 'resmi', 'salip', 'malaysia', 'hingga', 'tinggal', 'thailand', 'patrick', 'kluivert', 'merana']","['update ranking', 'ranking fifa', 'fifa timnas', 'timnas indonesia', 'indonesia hari', 'hari resmi', 'resmi salip', 'salip malaysia', 'malaysia hingga', 'hingga tinggal', 'tinggal thailand', 'thailand patrick', 'patrick kluivert', 'kluivert merana']"
"['tag', 'wts', 'tiket', 'nonton', 'bareng', 'timnas', 'indonesia', 'irak', 'cgv', 'grand', 'indonesia', 'sabtu', 'minggu', 'cod', 'jakarta', 'jkt']","['tag wts', 'wts tiket', 'tiket nonton', 'nonton bareng', 'bareng timnas', 'timnas indonesia', 'indonesia irak', 'irak cgv', 'cgv grand', 'grand indonesia', 'indonesia sabtu', 'sabtu minggu', 'minggu cod', 'cod jakarta', 'jakarta jkt']"
"['peluang', 'timnas', 'indonesia', 'piala', 'dunia', 'netizen', 'menang', 'lawan', 'irak', 'harga', 'mati']","['peluang timnas', 'timnas indonesia', 'indonesia piala', 'piala dunia', 'dunia netizen', 'netizen menang', 'menang lawan', 'lawan irak', 'irak harga', 'harga mati']"
"['entah', 'biarpun', 'timnas', 'indonesia', 'kalah', 'klok', 'sayur', 'blunder', 'pagi', 'gin', 'tetap', 'ngopi', 'merefresh', 'pikir', 'timnasday']","['entah biarpun', 'biarpun timnas', 'timnas indonesia', 'indonesia kalah', 'kalah klok', 'klok sayur', 'sayur blunder', 'blunder pagi', 'pagi gin', 'gin tetap', 'tetap ngopi', 'ngopi merefresh', 'merefresh pikir', 'pikir timnasday']"
"['harap', 'menang', 'jepang', 'anggap', 'tidak', 'masuk', 'akal', 'harap', 'menang', 'arab', 'saudi', 'gimana', 'tuh', 'normalisasi', 'kalah', 'ngarep', 'masuk', 'piala', 'dunia', 'isi', 'kepala', 'paling', 'pikir']","['harap menang', 'menang jepang', 'jepang anggap', 'anggap tidak', 'tidak masuk', 'masuk akal', 'akal harap', 'harap menang', 'menang arab', 'arab saudi', 'saudi gimana', 'gimana tuh', 'tuh normalisasi', 'normalisasi kalah', 'kalah ngarep', 'ngarep masuk', 'masuk piala', 'piala dunia', 'dunia isi', 'isi kepala', 'kepala paling', 'paling pikir']"
"['iya', 'iya', 'tidak', 'ngarep', 'menang', 'jepang', 'tidak', 'ngarep', 'menang', 'arab', 'saudi', 'kalo', 'kalah', 'normalisasi', 'terus', 'ngapain', 'mimpi', 'indo', 'masuk', 'piala', 'dunia']","['iya iya', 'iya tidak', 'tidak ngarep', 'ngarep menang', 'menang jepang', 'jepang tidak', 'tidak ngarep', 'ngarep menang', 'menang arab', 'arab saudi', 'saudi kalo', 'kalo kalah', 'kalah normalisasi', 'normalisasi terus', 'terus ngapain', 'ngapain mimpi', 'mimpi indo', 'indo masuk', 'masuk piala', 'piala dunia']"
"['meski', 'ramai', 'timnasday', 'pssi', 'klok', 'dara', 'cah', 'ayu', 'lihat', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'jadi', 'harap', 'presiden', 'langkah', 'strategis', 'tuju', 'indonesia', 'emas', 'lalu', 'anakanak', 'indonesia', 'lebih', 'sehat', 'cerdas']","['meski ramai', 'ramai timnasday', 'timnasday pssi', 'pssi klok', 'klok dara', 'dara cah', 'cah ayu', 'ayu lihat', 'lihat program', 'program makan', 'makan gizi', 'gizi gratis', 'gratis mbg', 'mbg jadi', 'jadi harap', 'harap presiden', 'presiden langkah', 'langkah strategis', 'strategis tuju', 'tuju indonesia', 'indonesia emas', 'emas lalu', 'lalu anakanak', 'anakanak indonesia', 'indonesia lebih', 'lebih sehat', 'sehat cerdas']"
"['waktu', 'arab', 'kalah', 'indonesia', 'memang', 'main', 'nya', 'bapuk', 'tidak', 'usah', 'dewa', 'timnas', 'tim', 'asean']","['waktu arab', 'arab kalah', 'kalah indonesia', 'indonesia memang', 'memang main', 'main nya', 'nya bapuk', 'bapuk tidak', 'tidak usah', 'usah dewa', 'dewa timnas', 'timnas tim', 'tim asean']"
"['tumbang', 'arab', 'saudi', 'ole', 'romeny', 'tegas', 'timnas', 'indonesia', 'siap', 'bangkit', 'lawan', 'irak']","['tumbang arab', 'arab saudi', 'saudi ole', 'ole romeny', 'romeny tegas', 'tegas timnas', 'timnas indonesia', 'indonesia siap', 'siap bangkit', 'bangkit lawan', 'lawan irak']"
"['live', 'rcti', 'malam', 'hari', 'jadwal', 'siar', 'langsung', 'timnas', 'indonesia', 'irak', 'kualifikasi', 'piala', 'dunia', 'laga', 'hidup', 'mati']","['live rcti', 'rcti malam', 'malam hari', 'hari jadwal', 'jadwal siar', 'siar langsung', 'langsung timnas', 'timnas indonesia', 'indonesia irak', 'irak kualifikasi', 'kualifikasi piala', 'piala dunia', 'dunia laga', 'laga hidup', 'hidup mati']"
