"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1976128683535630680","Thu Oct 09 10:11:32 +0000 2025","1","@BearishBorn @luxentX @Marchfoward Ini saya kasih kasus yg sama waktu ituvKlok sudah menjadi Warga Negara Indonesia sebelum 5 tahun karena mengklaim mempunyai keturunan Indonesia dari kakenya tapi karena tidak bisa menunjukam dokumen ke FIFA dia harus menunggu 5 tahun tinggal di Indonesia baru bisa membela Timnas https://t.co/LlvZTTLZqi","1976229032044707881","https://pbs.twimg.com/media/G2z50uBaIAAjM-S.jpg","BearishBorn","in","","0","0","0","https://x.com/undefined/status/1976229032044707881","1558418591082754053",
"1975949644644721010","Thu Oct 09 10:11:13 +0000 2025","0","@sandalista1789 Muslim arab doakan timnasnya masih masuk akal.. sesama muslim. Lha ini muslim indonesia doakan timnas yg isinya non muslim.. kacau","1976228950658498678","","sandalista1789","in","","0","0","0","https://x.com/undefined/status/1976228950658498678","1967942336",
"1976228946837377406","Thu Oct 09 10:11:12 +0000 2025","0","Catat! Jadwal dan Siaran Langsung Timnas Indonesia vs Arab Saudi Putaran Keempat Kualifikasi Piala Dunia 2026 https://t.co/S06yKGcxnw","1976228946837377406","","","in","","0","0","0","https://x.com/undefined/status/1976228946837377406","1949567282797248512",
"1976228847705272347","Thu Oct 09 10:10:48 +0000 2025","0","Maarten Paes Bakar Semangat Suporter Timnas Indonesia! https://t.co/3IFX3yJOzv","1976228847705272347","","","in","","0","0","0","https://x.com/undefined/status/1976228847705272347","1949567282797248512",
"1976228682726342806","Thu Oct 09 10:10:09 +0000 2025","0","Bukan Kaleng-kaleng! Nilai Pasaran Timnas Indonesia Tembus Rp 511 89 Miliar Senggol Irak dan Kejar Arab Saudi https://t.co/c9FN8TSMJ3","1976228682726342806","","","in","","0","0","0","https://x.com/undefined/status/1976228682726342806","1949567282797248512",
"1976228416166015395","Thu Oct 09 10:09:05 +0000 2025","2","Bukan wasit yang ngerjain Indonesia tapi malah Kluivert yang bikin formasi gak sesuai dengan kondisi. Pergantian pemain yang dilakukan juga kurang tepat sehingga tidak bisa maksimal #OLE777 #pialadunia #timnas #kluivert #indonesia https://t.co/nTqzlRMNIP","1976228416166015395","https://pbs.twimg.com/amplify_video_thumb/1976228295747436547/img/gQmCgSxhib-xLNbW.jpg","","in","","0","1","1","https://x.com/undefined/status/1976228416166015395","1957621619800829955",
"1976228404556071108","Thu Oct 09 10:09:02 +0000 2025","0","Pelatih timnas Indonesia Patrick Kluivert berharap Calvin Verdonk segera pulih. https://t.co/S4fg9oydwK","1976228404556071108","","","in","","0","0","0","https://x.com/undefined/status/1976228404556071108","18071520",
"1976166058752184482","Thu Oct 09 10:08:59 +0000 2025","0","@kompascom Jadi timnas tuh indonesia apa hindia belanda ","1976228389318184981","","kompascom","in","","0","0","0","https://x.com/undefined/status/1976228389318184981","435670174",
"1976210356075888755","Thu Oct 09 10:07:48 +0000 2025","0","@idextratime STY sm timnas indo otu ibarat benang kasut yg alon2 di rapihkan frekwensinya sdh dpt dgn feeling STY jd gitu pa @erickthohir @AryaSinulingga pahaaam kan ayo pa @prabowo @Gerindra beri paham erik demi Indonesia","1976228091447169312","","idextratime","in","","0","0","0","https://x.com/undefined/status/1976228091447169312","1072789314",
"1976227487043731596","Thu Oct 09 10:05:24 +0000 2025","1","Skenario Timnas Indonesia Lolos Langsung Meski Kalah dari Arab Saudi Syaratnya: Indonesia harus menang minimal selisih 2 Gol atas 🇮🇶 Timnas Irak pada laga terakhir. Kemudian Arab Saudi harus kalah minimal selisih 1 gol dari Irak. Klok #zonauang #Timnas #TimnasIndonesia https://t.co/MjTzTwmiNP","1976227487043731596","https://pbs.twimg.com/media/G2z4ax5bsAATFIR.jpg","","in","","0","0","0","https://x.com/undefined/status/1976227487043731596","1941019589321936900",
"1976227405556859385","Thu Oct 09 10:05:04 +0000 2025","0","Marselino Ferdinan Tak Bisa Main! Intip 3 Pengganti Potensial Jelang Laga Timnas Indonesia vs Arab Saudi https://t.co/PBM9f48mRj","1976227405556859385","","","in","","0","0","0","https://x.com/undefined/status/1976227405556859385","1949567282797248512",
"1976210356075888755","Thu Oct 09 10:04:24 +0000 2025","0","@Fauzi__M @HoediesMuh2 @idextratime Kalau hanya kepentingan taktik apalagi taktiknya gak sesuai dengan kurikulum usia muda di Indonesia ngapain pemain lokal dikasih harapan main di Timnas kalau peluang mereka tertutup karena kebutuhan taktik?","1976227236509520332","","Fauzi__M","in","","0","1","0","https://x.com/undefined/status/1976227236509520332","1795757743158239232",
"1976227227017863577","Thu Oct 09 10:04:22 +0000 2025","0","2 Faktor Krusial Timnas Indonesia Bisa Lolos ke Piala Dunia 2026! Patrick Kluivert Siap Ukir Sejarah Indah https://t.co/CLq1ERlgxE","1976227227017863577","","","in","","0","0","0","https://x.com/undefined/status/1976227227017863577","1949567282797248512",
"1976227055902859392","Thu Oct 09 10:03:41 +0000 2025","0","Optimisme Tinggi Pelatih Timnas Indonesia Patrick Kluivert! Bisa Bikin Suporter Arab Saudi Ngamuk di Kandang Sendiri https://t.co/Rx2WQw6UvU","1976227055902859392","","","in","","0","0","0","https://x.com/undefined/status/1976227055902859392","1949567282797248512",
"1976226935643725934","Thu Oct 09 10:03:12 +0000 2025","0","Timnas Indonesia U-23 vs India Indra Sjafri: Bukan Gambaran SEA Games 2025 https://t.co/1EEKGgjST9","1976226935643725934","","","in","","0","0","0","https://x.com/undefined/status/1976226935643725934","47274731",
"1976226903985115237","Thu Oct 09 10:03:05 +0000 2025","0","Optimisme Tinggi Nil Maizar! Timnas Indonesia Punya Segalanya Menuju Piala Dunia 2026 https://t.co/JckSqaKKek","1976226903985115237","","","in","","0","0","0","https://x.com/undefined/status/1976226903985115237","1949567282797248512",
"1976210356075888755","Thu Oct 09 10:02:39 +0000 2025","1","@LuthviCandra4 @HoediesMuh2 @idextratime Gua melihat dengan kondisi sekarang kok dan pergantian ini emang menguntungkan pesepakbola muda Indonesia yg gak pernah dilatih STY serta ekosistem Sepakbola usia muda di Indonesia yg peluang pemainya masuk Timnas kembali terbuka.","1976226797860843813","","LuthviCandra4","in","","0","1","0","https://x.com/undefined/status/1976226797860843813","1795757743158239232",
"1976226787773526485","Thu Oct 09 10:02:37 +0000 2025","0","Indonesia harus puas dengan skor akhir 2-3 atas Arab Saudi tapi perjuangan kalian luar biasa. Terus semangat Garuda. Kalian sudah keren banget! #BeraniCetakGol #Timnas #TimnasDay #MilkLifeSoccer #MilkLifeSoccerChallenge #AFC https://t.co/oboui5jgLM","1976226787773526485","https://pbs.twimg.com/media/G2z3xtEaYAAAL7g.jpg","","in","","0","0","0","https://x.com/undefined/status/1976226787773526485","1637718529050021889",
"1976226656751956091","Thu Oct 09 10:02:06 +0000 2025","0","Timnas Indonesia Gagal Curi Poin di Jeddah Semangat Garuda Tetap Membara https://t.co/fl7jqzql4d","1976226656751956091","","","in","","0","0","0","https://x.com/undefined/status/1976226656751956091","1519560175530971136",
"1976207771101254068","Thu Oct 09 10:01:12 +0000 2025","0","@idextratime balik ke timnas indonesia aja coach","1976226433224802360","","idextratime","in","","0","0","0","https://x.com/undefined/status/1976226433224802360","2719153626",
"1976226424903356455","Thu Oct 09 10:01:10 +0000 2025","0","Publik Vietnam menilai pintu gerbang menuju Piala Dunia 2026 semakin tertutup bagi Timnas Indonesia usai kekalahan dari Arab Saudi https://t.co/skUHwnvrCC","1976226424903356455","","","in","","0","0","0","https://x.com/undefined/status/1976226424903356455","78239324",
"1976226404930101311","Thu Oct 09 10:01:06 +0000 2025","0","Laga Timnas Indonesia lawan Arab Saudi dalam babak Comeback spesial untuk Ole Romeny dan Maarten Paes! Meski Garuda harus mengakui keunggulan tuan rumah 2-3 performa Ole dan Paes tetap gemilang. https://t.co/SMDhHRyfWb","1976226404930101311","","","in","","0","0","0","https://x.com/undefined/status/1976226404930101311","388190238",
"1976226393894895850","Thu Oct 09 10:01:03 +0000 2025","0","Publik Vietnam menilai pintu gerbang menuju Piala Dunia 2026 semakin tertutup bagi Timnas Indonesia usai kekalahan dari Arab Saudi https://t.co/sNzvdSUeL7","1976226393894895850","","","in","","0","0","0","https://x.com/undefined/status/1976226393894895850","626306017",
