conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1975932186433126888,Thu Oct 09 10:59:04 +0000 2025,0,@erickthohir apakah ada komentar dari ketua menpora untuk ketua pssi atas kekalahan timnas indonesia semalam??,1976240994166411768,,erickthohir,in,,0,1,0,https://x.com/undefined/status/1976240994166411768,899296318559932416,
1976240929142149577,Thu Oct 09 10:58:48 +0000 2025,0,perjuangan timnas indonesia belum habis di round 4 masih ada 2 jalur menuju piala dunia 2026 https://t.co/xvw0kq9iyf,1976240929142149577,https://pbs.twimg.com/media/G20El39aQAANWwX.jpg,,in,,0,1,0,https://x.com/undefined/status/1976240929142149577,1474392272527450116,
1976203078123782368,Thu Oct 09 10:58:48 +0000 2025,0,@panditfootball timnas kita kehilangan pelatih bagus ngambil pelatih sampah ex barca lg pelatihnya kontol2,1976240928470823089,,panditfootball,in,,0,1,0,https://x.com/undefined/status/1976240928470823089,1522983414139219968,
1976240910972395799,Thu Oct 09 10:58:44 +0000 2025,4,levelna oge beda atuh a ieu mah tos level timnas langganan pildun sanes level klub komo klub na oge level asean keneh,1976240910972395799,,,in,,0,2,0,https://x.com/undefined/status/1976240910972395799,1035525725007241216,
1976006748281635069,Thu Oct 09 10:58:42 +0000 2025,0,@jhonsitorus_19 kalau masih ada et dan gerombolannya sty tidak akan balik.. hanya di indonesia ketua federasi tidak mau kalah pamor dgn pelatih timnas,1976240900906090593,,jhonsitorus_19,in,,0,1,0,https://x.com/undefined/status/1976240900906090593,1235811577661542401,
1976210356075888755,Thu Oct 09 10:58:35 +0000 2025,10,@beepchen @idextratime udh biasa gue mau dikira ternak apa juga cuma berharap aja apakah timnas bakalan top perform kalo sty balik secara ini tim udh super lengkap &amp; komplit dibanding pas sty terakhir megang,1976240873630466127,,beepchen,in,,0,1,0,https://x.com/undefined/status/1976240873630466127,1645986870655082498,
1976240843599298773,Thu Oct 09 10:58:28 +0000 2025,0,dan gue ada di sana nntn lgsng timnas untuk pertama kali nya,1976240843599298773,,,in,,0,1,0,https://x.com/undefined/status/1976240843599298773,1014862408249106432,
1976218161063264337,Thu Oct 09 10:58:28 +0000 2025,20,@sundastruggle klasemen sementara liga hujatan nusantara masih dipimpin oleh mantan menteri bumn dgn 68rb lebih komentar. sementara itu mantan pelatih timnas curacao malah berada di dasar klasemen. https://t.co/yn6vdfri7m,1976240841477034322,https://pbs.twimg.com/media/G20EkoKbYAAIFOX.jpg,sundastruggle,in,,0,3,3,https://x.com/undefined/status/1976240841477034322,1214665030018293760,
1975930303475802144,Thu Oct 09 10:58:22 +0000 2025,0,@txtdrimedia yang main bola tim nas indonesia itu orang 2 dari mana sih ? o ..cuma barang import naturalisasi to ya ..gak harus bangga lah sama timnas kalo yg mo bangga ya silahkan aja gpp selain ijazah presden semu main bola pun kebanggaaan nya juga semu itulah indonesia .,1976240816697057638,,txtdrimedia,in,,0,0,0,https://x.com/undefined/status/1976240816697057638,1697498119746072576,
1976018348896059578,Thu Oct 09 10:58:01 +0000 2025,0,@addrie_ @txtdrimedia gua ga bilang pk adalah pelatih yang akan bagus untuk timnas tapi yang pasti dia ga akan dibawah busuknya sty itu pelatih udh mentok bapuk soalnya liat 5thn lagi,1976240729065390274,,addrie_,in,,0,0,0,https://x.com/undefined/status/1976240729065390274,3383630931,
1976210356075888755,Thu Oct 09 10:57:50 +0000 2025,0,@idextratime alasan pemectannya senada dengan pssi artinya....yg di utarakan pssi benar adanya,1976240682009542707,,idextratime,in,,0,0,0,https://x.com/undefined/status/1976240682009542707,726543192510754816,
1975991687697793342,Thu Oct 09 10:57:01 +0000 2025,0,@idnewcastle_ hahahah udah paling bener pamaen persib mah gk usah ada yang dipanggil timnas euyy tenang dan tentram seperti dulu ,1976240478728356014,,idnewcastle_,in,,0,0,0,https://x.com/undefined/status/1976240478728356014,231736624,
1975969075470975011,Thu Oct 09 10:56:59 +0000 2025,0,@yamabukiliett @coachjustinl alasannya? 1. erick thohir udah perpanjang kontrak sty bbrpa bulan sebelum pemecatan tapi diingkar. 2. masih di tengah kualifikasi setdknya klo mau mecat stlah gagal biar masuk akal. lebih bisa diterima fans timnas. skrang kamu jawab apa alasan pssi ganti sty ke patrick?,1976240470188843448,,yamabukiliett,in,,0,2,0,https://x.com/undefined/status/1976240470188843448,1824209453031600128,
1976225209201070356,Thu Oct 09 10:56:55 +0000 2025,0,@suicidesquad76 jaman timnas ng maguwo enek banner stk sisih lor,1976240455172890668,,SuicideSquad76,in,,0,1,0,https://x.com/undefined/status/1976240455172890668,811199186490327041,
1976178938553761940,Thu Oct 09 10:56:46 +0000 2025,1,@kompascom tlng lempari telor busuk bangkai tikus tiren jika sdh nyampe bandara!.. ambil semua jam rolexnya kasih ke rumah yatim piyatu.... menang kalah gpp namanya permainan tapi ini diluar nalar taktik dan strateginya @prabowo @setkabgoid cc @erickthohir @pssi #kluiverout #timnas,1976240414253596984,,kompascom,in,,0,2,0,https://x.com/undefined/status/1976240414253596984,1507008029556097028,
1976240403289604569,Thu Oct 09 10:56:43 +0000 2025,0,selain drama ecz ada jg drama timnas,1976240403289604569,,,in,,0,1,0,https://x.com/undefined/status/1976240403289604569,1380141809263779841,
1976005514657136705,Thu Oct 09 10:56:38 +0000 2025,0,@danishshahlam @idruscumicumi @theaseanball kami lolos piala asia timnas kau apa? tak banned pun sudah sukur,1976240380980101307,,danishshahlam,in,,0,0,0,https://x.com/undefined/status/1976240380980101307,1769924246380408832,
1976212107080462811,Thu Oct 09 10:56:35 +0000 2025,0,@fernarondonuwu @partaisocmed @erickthohir pas penunjukan pk dia bilang target timnas indo bukan lolos 2026 tapi lolos 2030 hahaha,1976240369282273557,,FernaRondonuwu,in,,0,1,0,https://x.com/undefined/status/1976240369282273557,1742236267046412288,
1975991687697793342,Thu Oct 09 10:56:31 +0000 2025,0,@twinsboys08_ @idnewcastle_ pemain persib sia emg goreng goblog tarimakeun we tolol tong bororaah sty aing ge lmn ngalatih timnas mah pas lwn saudi moal ngasupkeun klok jeung beckham jadi starting koplok,1976240350718198179,,twinsboys08_,in,,0,1,0,https://x.com/undefined/status/1976240350718198179,1742065643606990848,
1976216316148351453,Thu Oct 09 10:56:22 +0000 2025,0,@faktasepakbola @transfermarkt ambil lagi sty udah terbiasa ama timnas indo,1976240314651213878,,FaktaSepakbola,in,,0,0,0,https://x.com/undefined/status/1976240314651213878,1895303622998794242,
1976240298138403202,Thu Oct 09 10:56:18 +0000 2025,0,patrick kluivert menjelaskan bahwa mereka sudah berusaha keras untuk bisa mendapatkan kemenangan. namun skema ini tidak berjalan sesuai rencana dan arab saudi cukup nyaman setelah menang di area tengah #timnasgas https://t.co/dmd69ycjat,1976240298138403202,,,in,,0,1,0,https://x.com/undefined/status/1976240298138403202,626306017,
1976207771101254068,Thu Oct 09 10:56:12 +0000 2025,3,@yafapra11 @wunderkid_id @idextratime sekarang jadi anti 3 bek. timnas wajib main 4 bek karena demi menghargai pembinaan yang main 4 bek akakswk,1976240272234459563,,Yafapra11,in,,0,0,0,https://x.com/undefined/status/1976240272234459563,1768319192284172289,
1976240264063877521,Thu Oct 09 10:56:10 +0000 2025,0,patrick kluivert menjelaskan bahwa mereka sudah berusaha keras untuk bisa mendapatkan kemenangan. namun skema ini tidak berjalan sesuai rencana dan arab saudi cukup nyaman setelah menang di area tengah #timnasgas https://t.co/un3oeahjfy,1976240264063877521,,,in,,0,1,0,https://x.com/undefined/status/1976240264063877521,78239324,
1976005514657136705,Thu Oct 09 10:55:44 +0000 2025,0,@ijakrashid @idruscumicumi @theaseanball si tolol timnas lu terancam di banned ampun dah,1976240153783042052,,ijakRashid,in,,0,1,0,https://x.com/undefined/status/1976240153783042052,1769924246380408832,
1975985023758332341,Thu Oct 09 10:55:27 +0000 2025,0,@shelya93764788 @lanaakbar @unmagnetism saya sih merasa emang butuh waktu tim kepelatihan blm kenal kapasitas pemain yg ada dan scouting. waktu nya pendek tapi ya itu dia udh tau mepet ehhh sty (dgn segala plus-minusnya trutama saat away vs china) yg udh lebih lama tau soal timnas malah diganti ‍️,1976240083025145879,,Shelya93764788,in,,0,0,0,https://x.com/undefined/status/1976240083025145879,85606009,
1976158350871281865,Thu Oct 09 10:55:14 +0000 2025,1,@hilmi28 gak perlu kecewa ustadz sekedar timnas voc. kalo saya sih gak bangga sekaligus gak kecewa biasa aja ,1976240030336356629,,Hilmi28,in,,0,2,0,https://x.com/undefined/status/1976240030336356629,1673101854463655936,
1976007856697770197,Thu Oct 09 10:55:04 +0000 2025,0,@ekosibento_tp liga pondasi kuat timnas,1976239986019352704,,EkoSibento_TP,in,,0,1,0,https://x.com/undefined/status/1976239986019352704,597024217,
1976213122856968460,Thu Oct 09 10:54:57 +0000 2025,1,@faktasepakbola timnas kita siap menampung coach gerbong pelatih belanda siap di pecat sama et,1976239960379490525,,FaktaSepakbola,in,,0,1,0,https://x.com/undefined/status/1976239960379490525,1522983414139219968,
